,Bitcoin_Volume,Litecoin_Close,Litecoin_Volume,Dogecoin_Close,Dogecoin_Volume,Japan_Gold(trend),Japan_S&P500(trend),DE_Ethereum(trend),DE_S&P500(trend),IN_Bitcoin(trend),IN_Ethereum(trend),IN_S&P500(trend),US_Ethereum(trend),US_S&P500(trend),Date,United States_CPI,Eurozone_CPI,China_CPI,Japan_CPI,date,Ukraine_Russia_War,Israil_Palestin_War,US_Election,China_Election,Japan_Election,Germany_Election,India_Election
96,6.13286704212405e-05,0.0013045747749374,8.87624573078198e-05,0.0005513799102729,6.95560040194998e-05,89,3,0,0,1,0,0,0,3,2016-01-05,237.652,98.56,101.1,99.46552,2016-01-05,0,0,0,0,0,0,0
97,5.99606885469612e-05,0.0012625650607496,9.45539107386054e-05,0.0005513799102729,6.95560040194998e-05,72,0,0,0,2,0,0,0,2,2016-01-06,237.652,98.56,101.1,99.46552,2016-01-06,0,0,0,0,0,0,0
98,0.0002124580422584,0.0016552306115457,0.0002252559163771,0.0005513799102729,6.95560040194998e-05,74,3,0,0,2,0,0,0,4,2016-01-07,237.652,98.56,101.1,99.46552,2016-01-07,0,0,0,0,0,0,0
99,0.0001253551230515,0.0015632836137516,0.0001539706328042,0.0005513799102729,6.95560040194998e-05,74,0,0,0,1,0,0,0,4,2016-01-08,237.652,98.56,101.1,99.46552,2016-01-08,0,0,0,0,0,0,0
100,5.49329776176427e-05,0.0015416135147726,0.000134893459604,0.0005513799102729,6.95560040194998e-05,75,0,0,0,1,0,0,0,1,2016-01-09,237.652,98.56,101.1,99.46552,2016-01-09,0,0,0,0,0,0,0
101,6.55266452085258e-05,0.0014794202374445,0.0001086221241679,0.0005513799102729,6.95560040194998e-05,74,0,1,0,1,0,0,0,1,2016-01-10,237.652,98.56,101.1,99.46552,2016-01-10,0,0,0,0,0,0,0
102,7.82180179771726e-05,0.001531312834816,0.0001346883884673,0.0005513799102729,6.95560040194998e-05,80,4,0,0,2,0,0,0,3,2016-01-11,237.652,98.56,101.1,99.46552,2016-01-11,0,0,0,0,0,0,0
103,0.0002923680153219,0.0013671852273168,0.0002255543532346,0.0005513799102729,6.95560040194998e-05,83,0,0,1,1,0,0,0,3,2016-01-12,237.652,98.56,101.1,99.46552,2016-01-12,0,0,0,0,0,0,0
104,0.0004584320678419,0.0013211337023856,0.0003466841494986,0.0005513799102729,6.95560040194998e-05,74,0,0,0,1,0,0,0,4,2016-01-13,237.652,98.56,101.1,99.46552,2016-01-13,0,0,0,0,0,0,0
105,8.81779859870523e-05,0.0012949785053134,8.54413052396521e-05,0.0005513799102729,6.95560040194998e-05,78,0,0,1,2,0,0,0,4,2016-01-14,237.652,98.56,101.1,99.46552,2016-01-14,0,0,0,0,0,0,0
